Nombre,SKU,Categoría,Marca,Costo,Precio Venta,Stock
Short print modal soft,0004,Shorts,The Maker,5000.0000|5000.0000,8750.0000|8750.0000,0
Musculosa dorado piedras,0005,Musculosas,The Maker,20000,35000,0
Musculosa Morley con cierre,0006,Musculosas,The Maker,4000.0000|4000.0000,7000.0000|7000.0000,0
Musculosa de morley rock,0007,Musculosas,The Maker,6500,11375,0
Musculosa Morley estampado,0008,Musculosas,The Maker,6500,11375,0
Buzo chomba rústico rayado,0009,Buzos,The Maker,16000.0000|16000.0000|16000.0000|16000.0000,28000.0000|28000.0000|28000.0000|28000.0000,0
Conjunto Palazzo y Remeron Rayas Anchas,0010,Conjuntos,The Maker,18000,31500,0
Conjunto bambula,0011,Conjuntos,The Maker,12000.0000|12000.0000|12000.0000,21000.0000|21000.0000|21000.0000,0
Conjunto Short y Puperon Rayado Finito,0013,Conjuntos,The Maker,15000.0000|15000.0000,26250.0000|26250.0000,0
Remera bordada frente,0014,Remeras,The Maker,13000,22750,0
Puperon rock nevado,0015,Puperones,The Maker,9000,15750,0
Puperon Sonrie,0016,Puperones,The Maker,3500,6125,0
Puperon Oakland,0018,Puperones,The Maker,3500.0000|3500.0000,6125.0000|6125.0000,0
Chomba pupera rayas finitas,0019,Chombas,The Maker,9500.0000|9500.0000,16625.0000|16625.0000,0
Chomba pupera rayas anchas,0020,Chombas,The Maker,9500,16625,0
Puperon Liso,0021,Puperones,The Maker,4000.0000|4000.0000,7000.0000|7000.0000,0
Puperon liso morley nuevo,0022,Puperones,The Maker,6000.0000|6000.0000|6000.0000|6000.0000|6000.0000|6000.0000,10500.0000|10500.0000|10500.0000|10500.0000|10500.0000|10500.0000,0
Puperon Morley nevado,0023,Puperones,The Maker,8000.0000|8000.0000,14000.0000|14000.0000,0
Remera Manga princesa boca beso,0024,Remeras,The Maker,6000,10500,0
Remera sublimada,0025,Remeras,The Maker,9000,15750,0
Remera sublimada cuello V,0026,Remeras,The Maker,9000.0000|9000.0000,15750.0000|15750.0000,0
Remera sublimada rayada estampada,0027,Remeras,The Maker,12000,21000,0
Remera palmera luna estrellas,0028,Remeras,The Maker,7000,12250,0
Remera manga japonesa sublimada,0029,Remeras,The Maker,9000.0000|9000.0000,15750.0000|15750.0000,0
Remera basica morley,0030,Remeras,The Maker,5800.0000|5800.0000|5800.0000|5800.0000,10150.0000|10150.0000|10150.0000|10150.0000,0
Camisa Musso agujeros,0031,Camisas,LSKMAN,16900.0000|16900.0000,29575.0000|29575.0000,0
Conjunto texturas,0032,Conjuntos,LSKMAN,19900.0000|19900.0000,34825.0000|34825.0000,0
Sudadera musculosa Lorenzo,0033,Sudaderas,LSKMAN,17900.0000|17900.0000|17900.0000,31325.0000|31325.0000|31325.0000,0
Remera over boxy Vicente,0034,Remeras,LSKMAN,13900.0000|13900.0000,24325.0000|24325.0000,0
Remera bordada cordon texturas,0035,Remeras,LSKMAN,13900,24325,0
Remera Tokyo Jersey pesado rib tejido,0036,Remeras,LSKMAN,13900.0000|13900.0000,24325.0000|24325.0000,0
Remera boxy over Harry Jersey pesado,0037,Remeras,LSKMAN,13900.0000|13900.0000,24325.0000|24325.0000,0
Remera Rocco roturas boxy fit,0038,Remeras,LSKMAN,14900,26075,0
Chomba tejida con cierre Philo,0039,Chombas,LSKMAN,14900,26075,0
Cinturon elastizado de fiesta con hebilla metálica,0040,Cinturones,Pupé,3600.0000|3600.0000|3600.0000,6300.0000|6300.0000|6300.0000,0
Cinturón elastizado de monedas importado,0041,Cinturones,Pupé,7900,13825,0
Cinturón de rafia con hebilla metálica importada,0042,Cinturones,Pupé,6600.0000|6600.0000,11550.0000|11550.0000,0
cinturón animal print importado,0043,Cinturones,Pupé,9000,15750,0
Faja circular calada con chapones y ojales,0044,Cinturones,Pupé,17500,30625,0
Cinto caderin ovalo chico con tiras,0045,Cinturones,Pupé,5300.0000|5300.0000,9275.0000|9275.0000,0
Cinto caderin circulitos y tiras,0046,Cinturones,Pupé,5800,10150,0
Cinto media luna multitachas,0047,Cinturones,Pupé,8500,14875,0
Cinto faja en punta animal print,0048,Cinturones,Pupé,5400,9450,0
Cinto de tachitas enlazadas importado,0049,Cinturones,Pupé,6000,10500,0
Cinto elastizado de fiesta con dije lazo,0050,Cinturones,Pupé,3600.0000|3600.0000,6300.0000|6300.0000,0
Cinturón importado con hebilla irregular,0051,Cinturones,Pupé,8000.0000|8000.0000,14000.0000|14000.0000,0
Remera Mora,0052,Remeras,Clostudio,9000,15750,0
Bambi Mora Estampada,0053,Musculosas,Clostudio,16500,28875,0
Bambi clo Estampada,0054,Musculosas,Clostudio,16500,28875,0
Remera Sky Estampada,0055,Musculosas,Clostudio,16500,28875,0
Remera Sky,0056,Remeras,Clostudio,9000.0000|9000.0000|9000.0000,15750.0000|15750.0000|15750.0000,0
Remera Ali Sublimada,0057,Remeras,Clostudio,10000,17500,0
Remera nevada lisa,0058,Remeras,Clostudio,9000,15750,0
Remera Mirta,0059,Remeras,Clostudio,6000,10500,0
Remera Spirit,0060,Remeras,Clostudio,10000,17500,0
Bambi Lisa,0061,Musculosas,Clostudio,7500.0000|7500.0000,13125.0000|13125.0000,0
Remera Batik Brunch Club,0062,Remeras,Clostudio,12000,21000,0
Short Wanda Sublimado,0063,Shorts,Clostudio,12500,21875,0
Muscu Leyla Sublimado,0064,Musculosas,Clostudio,13000,22750,0
Musculosa Gigi Vintage,0065,Musculosas,Clostudio,7500.0000|7500.0000,13125.0000|13125.0000,0
Remerita Linda,0066,Remeras,Clostudio,4000,7000,0
Camisa Cuerina Cropped,0067,Camisas,Merci,13600,23800,0
Top sin manga lino,0068,Tops,Merci,15645,27378.75,0
Short de lino,0069,Shorts,Merci,12180.0000|12180.0000|12180.0000,21315.0000|21315.0000|21315.0000,0
Pollera de lino,0070,Polleras,Merci,5000.0000|5000.0000,8750.0000|8750.0000,0
Saco de lino manga corta,0071,Sacos,Merci,9000,15750,0
Remera manga corta de hilo,0072,Remeras,Merci,13000.0000|13000.0000|13000.0000,22750.0000|22750.0000|22750.0000,0
Blazer crop,0073,Blazers,Merci,17000.0000|17000.0000,29750.0000|29750.0000,0
Saco sin manga cruzado lino,0074,Sacos,Merci,20790.0000|20790.0000,36382.5000|36382.5000,0
Short pollera lino,0075,Shorts,Merci,14500.0000|14500.0000,25375.0000|25375.0000,0
Palazzos Fibrana Liso,0076,Pantalones,Cabana,9000,15750,0
Palazzos Morley Ottamon Oscuro,0077,Pantalones,Cabana,12500,21875,0
Remera (ALGODÓN) - Rosa Print - (Mujer),0078,Remeras,Cabana,10150,17762.5,0
Remera (ALGODÓN) Sleeping Cat,0079,Remeras,Cabana,10150,17762.5,0
Remera (Dama) Flores 3D (Modal),0080,Remeras,Cabana,7450,13037.5,0
Remera DTF (ALGODÓN) Miles de Corazones,0081,Remeras,Cabana,10150,17762.5,0
Remera (ALGODÓN) Los Angeles,0082,Remeras,Cabana,10150,17762.5,0
Remera (ALGODÓN) Corazon Rosa,0083,Remeras,Cabana,10150,17762.5,0
Remera (MODAL) Pink Mariposa,0084,Remeras,Cabana,7450,13037.5,0
Remera DTF (ALGODÓN) Arcoíris Mariposa,0085,Remeras,Cabana,10150,17762.5,0
Remera DTF (ALGODÓN) Corazones Cafe,0086,Remeras,Cabana,10150,17762.5,0
Remera (MODAL) Flor Marron,0087,Remeras,Cabana,7450,13037.5,0
Remera (Modal) Fly To You,0088,Remeras,Cabana,7450,13037.5,0
Remera (ALGODÓN) Símbolo HP,0089,Remeras,Cabana,10150,17762.5,0
Remeras (Modal) Diseño Nuevo,0090,Remeras,Cabana,7450,13037.5,0
Remera (Modal) Conejo,0091,Remeras,Cabana,7450,13037.5,0
Remera DTF (ALGODÓN) 5 Corazones,0092,Remeras,Cabana,10150,17762.5,0
Remera DTF (ALGODÓN) Corazón Leopardo,0093,Remeras,Cabana,10150,17762.5,0
Remera (MODAL) Otoño Mariposa,0094,Remeras,Cabana,7450,13037.5,0
Remera (ALGODÓN) Guess,0095,Remeras,Cabana,10150.0000|10150.0000,17762.5000|17762.5000,0
Remera (MODAL) Mariposas volando de corazón,0096,Remeras,Cabana,7450,13037.5,0
Remera (Modal)Torre de Flores,0097,Remeras,Cabana,7450,13037.5,0
Remera (Modal) Poni,0098,Remeras,Cabana,7450.0000|7450.0000|7450.0000,13037.5000|13037.5000|13037.5000,0
Remera (MODAL) 3 corazones,0099,Remeras,Cabana,7450,13037.5,0
Remera (ALGODÓN) Meow,0100,Remeras,Cabana,10150.0000|10150.0000,17762.5000|17762.5000,0
Remera (MODAL) Corazon leopardo,0101,Remeras,Cabana,7450,13037.5,0
