"Nombre","SKU","Código","Categoría","Marca","Costo","Precio Venta","Stock"
"Balcarce - Baggy 4 bolsillos oxido con bordado - 38","0118-1","","Pantalones","CC Jeans","26500.00","46375.00","1"
"Balcarce - Baggy 4 bolsillos oxido con bordado - 40","0118-2","","Pantalones","CC Jeans","26500.00","46375.00","1"
"Balcarce - Baggy 4 bolsillos oxido con bordado - 42","0118-3","","Pantalones","CC Jeans","26500.00","46375.00","1"
"Bambi clo Estampada","0054","","Musculosas","Clostudio","16500.00","28875.00","0"
"Bambi Lisa - Negro","0061-1","","Musculosas","Clostudio","7500.00","13125.00","1"
"Bambi Lisa - Blanco","0061-2","","Musculosas","Clostudio","7500.00","13125.00","1"
"Bambi Mora Estampada - Negro","0053-1","","Musculosas","Clostudio","16500.00","28875.00","1"
"Bariloche - Baggy 4 bolsillos con recortes - 38","0122-1","","Pantalones","CC Jeans","26500.00","46375.00","1"
"Bariloche - Baggy 4 bolsillos con recortes - 40","0122-2","","Pantalones","CC Jeans","26500.00","46375.00","1"
"Bariloche - Baggy 4 bolsillos con recortes - 42","0122-3","","Pantalones","CC Jeans","26500.00","46375.00","1"
"Bermuda k-250406 - M","0242-1","","Bermudas","Mouk","18000.00","31500.00","1"
"Bermuda k-250406 - L","0242-2","","Bermudas","Mouk","18000.00","31500.00","1"
"Bermuda k-250408 - S","0241-1","","Bermudas","Mouk","18000.00","31500.00","1"
"Bermuda k-250408 - M","0241-2","","Bermudas","Mouk","18000.00","31500.00","1"
"Bermuda k-250408 - L","0241-3","","Bermudas","Mouk","18000.00","31500.00","1"
"Bermuda k-250408 - XL","0241-4","","Bermudas","Mouk","18000.00","31500.00","1"
"Bermuda k-250408 - XXL","0241-5","","Bermudas","Mouk","18000.00","31500.00","1"
"Blazer crop - S","0073-1","","Blazers","Merci","17000.00","29750.00","2"
"Blazer crop - M","0073-2","","Blazers","Merci","17000.00","29750.00","2"
"Blazer Metalizado Cruzado - M","0172-1","","Blazers","Arizona","18785.00","32873.75","2"
"Blusa Guada Bordada - Negro","0186-1","","Blusas","LSK","14900.00","26075.00","1"
"Blusa Lina - Negro","0194-1","","Blusas","LSK","17900.00","31325.00","1"
"Blusa Lorenza - M","0175-1","","Blusas","LSK","19900.00","34825.00","0"
"Blusa NADINE Broderie Bordada - M","0168-1","","Blusas","Arizona","31250.00","54687.50","1"
"Buzo chomba rústico rayado - Negro","0009-1","","Buzos","The Maker","16000.00","28000.00","1"
"Buzo chomba rústico rayado - Gris","0009-2","","Buzos","The Maker","16000.00","28000.00","1"
